Years at Company,Performance Rating,Number of Promotions,Overtime,Education Level,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Company Reputation,Attrition,OverallSatisfaction,Opportunities,AnnualIncome,AgeGroup,RoleStagnationRatio,TenureGap,EarlyCompanyTenureRisk,LongTenureLowRoleRisk
1.17,3,0,1,4,2,3,1,6.92,0,3,0,3,0,0,2,0.148,5.75,1,0
1.58,1,2,0,3,6,2,3,6.33,0,4,1,3,0,0,2,0.216,4.75,1,1
1.17,2,0,0,4,1,1,2,5.17,0,3,1,2,0,0,4,0.19,4.0,1,1
2.58,3,0,0,5,1,2,3,6.33,0,3,0,3,0,0,3,0.352,3.75,0,1
0.92,3,2,0,4,2,3,2,4.0,0,4,0,3,1,0,3,0.184,3.08,1,0
2.75,3,0,0,4,4,2,2,8.75,1,3,0,2,0,0,4,0.282,6.0,0,1
0.5,2,0,1,2,1,1,1,2.58,0,3,1,3,0,0,2,0.14,2.08,1,0
0.5,3,3,0,3,2,1,2,1.08,0,1,1,3,0,0,1,0.24,0.5800000000000001,1,0
2.42,4,0,0,1,3,1,2,7.58,0,1,0,2,0,0,4,0.282,5.16,0,1
1.92,2,3,0,2,1,1,2,8.5,0,1,1,3,1,0,2,0.202,6.58,1,1
1.0,2,0,0,4,0,1,2,2.42,0,2,1,3,0,0,4,0.292,1.42,1,0
1.42,3,1,0,3,4,2,1,6.58,0,1,0,3,0,0,3,0.187,5.16,1,1
0.92,4,0,0,4,2,2,1,3.33,0,2,1,3,0,0,1,0.212,2.41,1,0
3.17,3,0,1,2,3,1,1,9.67,0,2,1,2,0,0,4,0.297,6.5,0,1
0.58,3,0,0,4,0,2,2,4.5,0,2,0,2,1,0,3,0.105,3.92,1,0
1.5,3,2,0,1,0,3,2,5.58,1,2,0,2,0,0,3,0.228,4.08,1,0
0.75,2,0,0,1,4,3,1,4.42,0,3,0,3,1,0,1,0.138,3.67,1,0
0.5,2,1,0,3,1,1,3,6.5,0,3,1,3,1,0,4,0.067,6.0,1,1
0.42,3,2,0,1,1,2,3,2.83,0,2,1,3,1,0,1,0.11,2.41,1,0
0.25,3,0,0,4,2,2,2,4.33,0,2,1,3,1,0,1,0.047,4.08,1,0
1.5,3,2,0,2,0,2,2,1.67,0,3,0,2,0,0,2,0.562,0.16999999999999993,1,0
0.83,4,0,0,3,1,1,2,3.0,0,3,1,3,1,0,1,0.208,2.17,1,0
0.92,3,2,1,2,4,1,1,5.92,0,3,1,3,1,0,2,0.133,5.0,1,1
1.42,3,2,0,3,0,1,2,3.08,0,3,0,3,1,0,3,0.348,1.6600000000000001,1,0
0.75,3,2,0,5,0,1,1,7.17,0,1,0,3,0,0,1,0.092,6.42,1,1
0.17,2,0,1,1,1,3,1,5.83,0,3,1,2,2,0,2,0.025,5.66,1,0
0.25,3,0,1,5,0,2,2,3.33,0,4,0,3,1,0,2,0.058,3.08,1,0
1.67,3,0,0,1,3,1,1,3.92,0,2,1,3,0,0,3,0.339,2.25,1,0
0.5,2,1,0,5,3,1,2,6.17,0,2,0,3,1,0,3,0.07,5.67,1,1
3.0,3,2,1,3,1,1,2,9.17,1,3,0,2,0,0,4,0.295,6.17,0,1
1.0,3,1,0,4,2,2,2,2.58,0,3,0,3,1,0,2,0.279,1.58,1,0
1.25,3,0,0,2,0,1,2,7.58,0,3,1,3,0,0,2,0.146,6.33,1,1
0.75,3,0,0,3,1,2,2,3.58,1,2,1,2,0,0,1,0.164,2.83,1,0
1.92,4,1,1,3,0,1,2,5.08,1,3,0,3,0,0,4,0.316,3.16,1,1
2.25,3,0,0,2,1,2,3,7.5,0,3,0,2,0,0,3,0.265,5.25,0,1
4.0,3,1,0,2,4,1,2,8.83,0,3,0,3,0,0,4,0.407,4.83,0,1
0.92,3,0,0,2,1,2,1,7.5,1,3,0,2,0,0,2,0.108,6.58,1,1
1.42,3,0,1,2,3,3,1,5.17,1,3,0,2,0,0,1,0.23,3.75,1,0
1.5,4,3,0,2,0,2,1,7.17,0,1,1,2,0,0,3,0.184,5.67,1,1
0.67,3,2,0,2,1,1,3,2.58,1,1,0,2,0,0,3,0.187,1.9100000000000001,1,0
0.92,3,0,0,3,2,2,2,5.58,1,2,0,3,0,0,4,0.14,4.66,1,1
1.0,3,0,1,3,4,1,2,3.25,1,3,0,2,0,0,1,0.235,2.25,1,0
2.17,3,2,0,2,0,1,2,5.0,0,4,1,2,0,0,3,0.362,2.83,0,0
0.25,4,0,0,1,0,2,3,5.67,0,3,0,2,0,0,1,0.037,5.42,1,1
1.17,3,1,0,3,3,1,3,4.42,0,3,1,2,1,0,1,0.216,3.25,1,0
2.67,3,1,0,4,4,1,2,8.33,0,3,0,2,0,0,4,0.286,5.66,0,1
0.5,4,2,0,3,4,1,2,1.25,0,3,0,2,0,0,2,0.222,0.75,1,0
1.42,3,0,0,1,0,1,1,6.75,1,1,0,3,0,0,3,0.183,5.33,1,1
1.42,2,1,1,2,6,1,1,7.17,1,3,0,2,0,0,3,0.174,5.75,1,1
0.75,4,1,0,2,4,3,3,2.0,0,1,0,3,0,0,1,0.25,1.25,1,0
1.67,4,1,0,2,0,1,2,3.17,0,4,1,3,0,0,2,0.4,1.5,1,0
0.75,1,2,0,4,4,3,2,5.75,0,3,1,2,0,0,4,0.111,5.0,1,0
0.08,4,0,1,1,0,1,1,2.83,1,3,0,2,0,0,3,0.021,2.75,1,0
2.0,4,1,0,1,0,2,2,7.83,0,3,0,3,1,0,4,0.227,5.83,1,1
2.0,4,1,0,4,6,2,2,4.33,1,2,0,2,0,0,3,0.375,2.33,1,0
2.08,3,1,0,2,4,2,2,8.08,1,3,0,3,1,0,2,0.229,6.0,0,1
0.83,3,1,0,3,1,2,2,6.17,0,2,0,2,0,0,1,0.116,5.34,1,1
1.5,3,0,0,4,3,2,2,1.58,0,3,1,2,0,0,3,0.581,0.08000000000000007,1,0
2.17,3,0,0,1,0,3,3,7.25,0,3,0,2,0,0,4,0.263,5.08,0,0
1.92,4,1,1,4,0,1,2,3.67,0,3,1,3,0,0,4,0.411,1.75,1,0
1.75,3,1,1,3,0,2,3,5.67,0,3,1,3,0,0,3,0.262,3.92,1,1
1.67,3,1,0,2,1,1,1,4.17,0,3,0,3,0,0,4,0.323,2.5,1,0
0.58,3,0,1,2,0,1,3,3.08,1,1,1,3,0,0,4,0.142,2.5,1,0
1.08,3,1,1,5,1,1,3,6.33,0,1,1,2,1,0,2,0.147,5.25,1,1
0.25,4,1,1,4,2,2,1,1.0,0,1,1,3,0,0,1,0.125,0.75,1,0
1.08,4,1,0,1,2,2,1,1.17,0,1,1,3,0,0,4,0.498,0.08999999999999986,1,0
0.92,3,0,0,3,6,2,3,1.92,0,1,1,3,0,0,1,0.315,0.9999999999999999,1,0
0.92,2,1,0,3,0,2,3,3.33,0,3,1,3,0,0,2,0.212,2.41,1,0
1.58,1,1,0,3,5,2,1,2.17,0,3,0,2,1,0,3,0.498,0.5899999999999999,1,0
0.25,1,3,0,2,2,2,2,3.75,0,4,0,3,0,0,3,0.053,3.5,1,0
0.83,4,0,0,3,3,1,1,4.83,0,3,1,2,0,0,4,0.142,4.0,1,0
2.0,3,1,0,3,0,1,3,7.58,0,3,0,3,0,0,4,0.233,5.58,1,1
1.0,3,0,0,3,2,2,2,6.92,0,3,0,3,0,0,2,0.126,5.92,1,1
0.75,3,1,0,4,4,3,2,4.58,0,1,0,2,0,0,3,0.134,3.83,1,0
1.25,4,0,0,5,0,1,2,7.67,0,4,1,3,0,0,3,0.144,6.42,1,1
1.08,3,0,0,2,3,2,2,3.83,0,3,0,2,0,0,3,0.224,2.75,1,0
2.58,3,1,0,2,1,1,3,8.42,1,2,0,2,1,0,4,0.274,5.84,0,1
3.25,2,0,0,4,1,2,1,4.58,0,1,0,2,2,0,4,0.582,1.33,0,0
0.58,3,1,0,3,2,3,1,2.33,0,3,1,2,0,0,3,0.174,1.75,1,0
1.17,3,0,0,1,3,2,1,3.0,0,3,0,3,0,0,2,0.292,1.83,1,0
1.42,4,0,1,2,3,2,2,1.67,0,3,1,2,0,0,2,0.532,0.25,1,0
2.17,2,0,0,3,1,2,2,7.25,0,3,0,2,1,0,4,0.263,5.08,0,1
1.42,3,0,0,3,1,2,2,4.83,1,3,0,3,0,0,4,0.244,3.41,1,0
0.5,3,0,1,2,1,2,2,1.92,0,3,1,3,2,0,2,0.171,1.42,1,0
1.92,3,0,1,1,3,2,3,2.83,0,2,1,2,0,0,2,0.501,0.9100000000000001,1,0
0.25,3,0,0,5,0,1,3,1.08,1,2,0,3,0,0,3,0.12,0.8300000000000001,1,0
0.08,4,0,0,2,0,1,1,5.0,0,3,1,2,0,0,1,0.013,4.92,1,0
0.58,2,0,1,1,6,1,2,1.0,0,4,1,3,1,0,1,0.29,0.42000000000000004,1,0
0.92,3,0,0,5,0,1,2,4.17,0,3,0,3,0,0,2,0.178,3.25,1,0
1.17,3,0,0,4,5,2,3,6.17,0,4,0,3,0,0,1,0.163,5.0,1,1
1.75,3,2,0,4,2,1,3,6.75,1,3,0,3,0,0,3,0.226,5.0,1,1
3.0,3,0,1,1,0,2,2,8.58,0,2,1,2,0,0,3,0.313,5.58,0,1
2.08,3,0,0,3,4,2,2,2.5,0,3,0,3,0,0,3,0.594,0.41999999999999993,0,0
0.17,3,0,0,2,2,2,2,1.42,0,3,1,2,0,0,4,0.07,1.25,1,0
0.5,3,1,0,2,1,2,1,0.92,0,3,0,3,0,0,4,0.26,0.42000000000000004,1,0
0.75,3,0,0,4,0,3,1,6.5,0,3,0,2,1,0,4,0.1,5.75,1,0
0.58,2,1,0,3,2,1,1,1.67,1,1,1,2,0,0,1,0.217,1.0899999999999999,1,0
0.75,4,3,0,4,5,3,1,3.58,0,4,0,2,0,0,2,0.164,2.83,1,0
3.58,2,0,1,2,0,1,3,4.25,0,3,1,3,0,0,4,0.682,0.6699999999999999,0,0
2.67,4,0,0,2,1,2,2,5.83,0,3,0,3,0,0,3,0.391,3.16,0,1
3.58,3,2,0,4,3,1,1,7.08,0,1,0,2,1,0,4,0.443,3.5,0,1
0.42,3,0,0,4,4,2,1,5.92,0,3,1,2,0,0,4,0.061,5.5,1,1
0.75,3,0,0,2,4,1,1,4.08,1,3,0,3,0,0,4,0.148,3.33,1,0
2.5,3,2,1,1,3,2,2,6.83,1,3,0,2,1,0,4,0.319,4.33,0,1
0.67,4,1,0,4,0,2,2,6.25,0,4,1,3,0,0,1,0.092,5.58,1,1
0.83,3,0,0,1,5,3,2,4.25,0,3,0,3,1,0,2,0.158,3.42,1,0
3.0,3,0,0,2,0,1,2,6.42,0,2,1,3,0,0,3,0.404,3.42,0,1
0.5,4,0,0,4,3,1,2,2.08,0,2,1,3,0,0,1,0.162,1.58,1,0
2.08,3,0,1,3,0,1,2,8.08,1,3,1,2,0,0,4,0.229,6.0,0,1
1.83,3,0,1,3,1,2,3,3.17,0,2,0,2,0,0,4,0.439,1.3399999999999999,1,0
0.5,3,1,0,2,3,1,1,2.75,0,2,1,3,0,0,2,0.133,2.25,1,0
0.25,3,0,0,4,1,1,2,1.17,0,3,1,1,1,0,2,0.115,0.9199999999999999,1,0
0.08,4,0,1,3,4,2,1,0.25,0,1,1,2,0,0,3,0.064,0.16999999999999998,1,0
0.08,3,0,0,2,1,2,2,5.33,0,3,0,1,0,0,1,0.013,5.25,1,1
2.67,3,0,0,4,1,3,2,7.42,0,3,0,3,0,0,3,0.317,4.75,0,0
0.25,4,0,0,1,1,1,1,5.58,0,2,1,2,0,0,1,0.038,5.33,1,1
1.25,3,1,0,4,0,1,1,6.17,1,2,0,2,1,0,2,0.174,4.92,1,1
0.17,4,0,0,1,0,2,2,2.25,1,2,0,3,1,0,1,0.052,2.08,1,0
2.42,1,0,0,2,0,3,2,6.58,0,2,1,2,0,0,4,0.319,4.16,0,0
1.67,3,0,1,1,0,2,1,4.0,0,3,1,2,0,0,2,0.334,2.33,1,0
3.58,4,0,0,1,4,3,2,7.83,0,1,0,3,0,0,4,0.405,4.25,0,0
0.25,3,0,0,1,5,1,2,0.67,0,3,1,2,0,0,1,0.15,0.42000000000000004,1,0
0.83,4,0,1,1,2,2,2,6.75,0,3,1,1,0,0,3,0.107,5.92,1,1
2.42,3,1,1,1,1,1,2,8.5,0,1,1,2,0,0,3,0.255,6.08,0,1
0.25,3,0,0,2,3,3,2,4.5,1,3,0,2,0,0,1,0.045,4.25,1,0
2.5,3,2,1,1,3,1,1,6.92,0,1,1,2,0,0,4,0.316,4.42,0,1
0.58,3,0,0,1,3,2,2,1.75,0,3,1,2,0,0,2,0.211,1.17,1,0
0.25,3,2,1,2,1,1,2,5.08,1,4,1,2,0,0,1,0.041,4.83,1,1
1.5,4,0,0,3,4,1,3,5.67,0,4,1,2,0,0,3,0.225,4.17,1,1
0.08,1,0,0,1,6,3,1,1.92,0,1,0,2,0,0,2,0.027,1.8399999999999999,1,0
1.58,4,3,0,1,0,2,2,4.33,0,4,0,3,0,0,2,0.296,2.75,1,0
0.83,3,0,1,3,0,1,1,6.5,1,3,0,2,0,0,1,0.111,5.67,1,1
2.42,4,1,0,3,1,1,2,5.92,0,4,1,3,0,0,3,0.35,3.5,0,1
0.92,3,0,1,4,1,1,2,3.5,1,3,0,2,0,0,1,0.204,2.58,1,0
1.75,2,3,1,3,0,1,3,2.25,1,3,0,2,0,0,2,0.538,0.5,1,0
1.25,3,0,0,4,0,1,3,5.92,0,3,0,3,0,0,2,0.181,4.67,1,1
1.83,3,4,0,2,1,1,2,6.58,0,3,0,1,0,0,3,0.241,4.75,1,1
0.25,3,2,1,3,0,3,1,4.42,1,1,0,2,1,0,4,0.046,4.17,1,0
0.25,3,0,0,2,4,1,3,0.58,0,3,0,1,0,0,2,0.158,0.32999999999999996,1,0
0.58,4,2,0,2,2,2,2,3.83,0,4,0,2,0,0,3,0.12,3.25,1,0
1.33,3,2,1,2,0,1,2,5.33,0,2,0,3,0,0,2,0.21,4.0,1,1
2.17,3,0,1,4,1,2,3,5.08,0,2,1,2,0,0,4,0.357,2.91,0,1
0.5,2,0,0,4,1,1,2,6.75,1,2,0,3,0,0,4,0.065,6.25,1,1
1.25,3,1,1,4,0,2,1,6.25,0,3,1,3,0,0,2,0.172,5.0,1,1
0.92,3,2,0,1,0,1,3,1.58,1,3,0,3,0,0,2,0.357,0.66,1,0
2.42,4,4,0,2,1,2,2,5.67,0,1,0,1,0,0,3,0.363,3.25,0,1
0.17,2,1,1,1,0,2,2,0.75,0,2,1,2,0,0,3,0.097,0.58,1,0
1.92,2,2,1,1,1,1,3,4.58,0,3,1,3,0,0,3,0.344,2.66,1,0
1.83,3,0,1,3,2,1,2,3.08,0,3,1,3,0,0,2,0.449,1.25,1,0
0.92,2,0,0,4,0,1,1,4.0,1,3,0,2,0,0,4,0.184,3.08,1,0
2.08,3,1,1,4,5,1,1,4.83,1,2,0,3,0,0,4,0.357,2.75,0,0
1.5,4,0,1,1,0,2,2,7.42,0,3,1,2,0,0,2,0.178,5.92,1,1
1.67,4,1,1,1,6,1,2,7.33,1,3,0,3,0,0,2,0.2,5.66,1,1
0.25,3,1,0,2,2,1,1,5.75,0,1,1,4,0,0,4,0.037,5.5,1,1
0.25,3,1,1,4,0,2,2,5.5,0,3,0,3,1,0,3,0.038,5.25,1,1
0.75,3,0,0,4,0,2,2,2.42,0,3,1,2,0,0,2,0.219,1.67,1,0
3.58,3,2,0,4,1,2,1,8.33,0,3,1,2,0,0,4,0.384,4.75,0,1
0.83,2,1,0,4,0,3,3,2.42,0,3,0,2,0,0,2,0.243,1.5899999999999999,1,0
0.67,3,1,1,1,2,2,2,3.58,1,3,1,2,0,0,2,0.146,2.91,1,0
1.58,2,0,1,3,0,2,2,2.17,0,4,0,3,0,0,3,0.498,0.5899999999999999,1,0
2.42,4,2,0,2,2,1,1,3.25,0,2,1,2,0,0,3,0.569,0.8300000000000001,0,0
0.33,4,2,1,5,1,1,2,1.0,0,3,0,4,0,0,1,0.165,0.6699999999999999,1,0
0.17,3,0,1,4,6,2,3,1.17,0,3,0,3,0,0,2,0.078,0.9999999999999999,1,0
3.42,3,0,1,2,2,1,1,8.75,1,3,1,2,0,0,4,0.351,5.33,0,1
0.92,3,0,0,2,1,1,2,7.08,0,1,1,1,1,0,3,0.114,6.16,1,1
0.33,3,2,1,1,0,2,1,5.17,0,3,0,3,0,0,1,0.053,4.84,1,1
0.33,3,0,1,4,3,2,3,4.58,0,3,0,2,0,0,3,0.059,4.25,1,0
3.75,4,1,1,2,2,2,1,8.17,0,3,1,3,0,0,4,0.409,4.42,0,1
1.33,4,0,1,2,1,3,2,7.5,1,3,0,2,1,0,2,0.156,6.17,1,0
1.58,2,2,1,2,0,2,1,3.67,0,1,1,3,0,0,4,0.338,2.09,1,0
0.17,3,0,0,2,2,1,2,0.25,0,1,1,2,0,0,1,0.136,0.07999999999999999,1,0
1.08,3,0,0,2,3,2,3,2.0,0,4,0,3,0,0,3,0.36,0.9199999999999999,1,0
0.42,2,3,1,1,0,2,2,2.83,0,3,0,2,0,0,1,0.11,2.41,1,0
1.92,4,3,0,3,3,2,2,5.17,1,1,0,3,0,0,4,0.311,3.25,1,1
1.92,3,2,0,1,5,1,2,7.67,0,3,0,2,1,0,4,0.221,5.75,1,1
0.83,1,1,0,2,1,2,2,6.83,0,2,1,3,0,0,2,0.106,6.0,1,1
0.83,2,0,1,3,0,2,2,5.83,0,3,1,3,0,0,1,0.122,5.0,1,1
2.83,3,0,1,1,1,2,2,9.17,0,3,0,3,0,0,3,0.278,6.34,0,1
2.42,2,0,0,4,0,2,2,2.5,0,1,1,3,1,0,3,0.691,0.08000000000000007,0,0
0.92,3,3,1,5,0,1,2,5.58,0,3,0,2,0,0,1,0.14,4.66,1,1
0.25,1,2,0,2,4,1,1,3.92,1,2,0,2,1,0,4,0.051,3.67,1,0
2.83,1,2,0,1,1,2,1,7.33,0,3,1,3,0,0,4,0.34,4.5,0,1
1.08,2,0,0,2,1,2,2,2.5,0,2,0,3,0,0,1,0.309,1.42,1,0
0.75,3,2,0,4,1,3,1,2.5,0,1,0,2,1,0,1,0.214,1.75,1,0
2.25,3,1,0,4,0,1,2,7.92,0,3,1,2,0,0,3,0.252,5.67,0,1
1.0,2,1,1,2,1,1,3,1.42,0,3,1,2,0,0,3,0.413,0.41999999999999993,1,0
1.25,3,0,0,1,1,1,1,5.17,1,2,0,2,1,0,4,0.203,3.92,1,1
3.92,2,0,1,3,3,2,1,7.67,0,2,1,2,0,0,4,0.452,3.75,0,1
1.08,3,1,0,4,0,2,1,5.33,0,3,0,2,0,0,4,0.171,4.25,1,1
2.08,2,4,0,1,3,3,2,4.0,0,2,0,3,1,0,3,0.416,1.92,0,0
1.42,2,1,0,3,1,1,3,2.92,0,1,1,3,0,0,3,0.362,1.5,1,0
0.5,4,0,0,3,3,3,3,6.33,0,4,0,2,1,0,3,0.068,5.83,1,0
2.58,3,0,0,5,3,2,2,7.83,0,1,0,2,0,0,4,0.292,5.25,0,1
0.33,4,1,0,2,0,1,2,4.58,1,3,1,2,1,0,3,0.059,4.25,1,0
1.58,4,3,0,3,1,1,3,7.0,0,2,0,3,0,0,3,0.198,5.42,1,1
0.75,2,0,1,3,0,1,3,7.33,1,3,1,3,0,0,1,0.09,6.58,1,1
0.08,2,0,0,2,0,1,1,3.58,0,4,1,3,0,0,1,0.017,3.5,1,0
0.17,3,1,0,3,5,1,2,5.75,0,1,1,2,0,0,2,0.025,5.58,1,1
0.58,3,2,1,2,5,2,1,1.75,0,3,1,3,0,0,1,0.211,1.17,1,0
2.58,1,1,0,2,0,1,1,3.5,0,3,1,2,0,0,4,0.573,0.9199999999999999,0,0
1.33,3,0,1,3,4,1,1,7.08,0,1,1,2,1,0,4,0.165,5.75,1,1
1.58,3,0,1,4,3,1,2,6.17,0,1,1,3,0,0,4,0.22,4.59,1,1
1.92,4,0,0,4,4,2,2,8.0,1,1,0,2,0,0,2,0.213,6.08,1,1
1.42,4,1,0,2,0,1,2,6.08,1,3,0,3,0,0,1,0.201,4.66,1,1
2.5,3,0,1,4,0,1,2,6.58,0,3,1,3,0,0,4,0.33,4.08,0,1
1.25,2,1,0,3,0,1,3,6.0,0,3,1,2,0,0,3,0.179,4.75,1,1
0.92,4,0,0,4,2,1,2,2.42,0,2,1,3,0,0,1,0.269,1.5,1,0
0.33,4,0,0,1,1,2,3,6.67,0,3,0,2,0,0,1,0.043,6.34,1,1
0.5,3,3,0,4,0,3,2,6.67,0,3,0,1,0,0,1,0.065,6.17,1,0
1.33,3,0,0,4,3,2,1,5.5,0,1,0,3,0,0,2,0.205,4.17,1,1
2.08,2,0,0,3,2,1,2,4.08,0,4,0,3,0,0,4,0.409,2.0,0,0
1.42,2,2,1,2,2,1,2,7.67,0,3,1,3,0,0,3,0.164,6.25,1,1
1.25,3,4,1,2,0,1,1,4.33,1,1,1,2,0,0,4,0.235,3.08,1,0
0.5,3,2,0,1,1,1,2,5.75,1,3,1,3,0,0,3,0.074,5.25,1,1
2.58,3,0,0,2,0,2,3,5.75,0,2,1,3,0,0,4,0.382,3.17,0,1
2.58,3,3,1,4,1,1,2,7.83,0,3,0,2,0,0,3,0.292,5.25,0,1
2.25,3,0,0,2,2,2,3,4.5,0,1,1,3,1,0,4,0.409,2.25,0,0
1.25,3,2,0,1,1,1,1,4.0,1,1,1,2,0,0,4,0.25,2.75,1,0
2.67,4,0,0,4,4,2,1,4.42,0,1,0,2,0,0,4,0.493,1.75,0,0
0.75,4,1,1,2,3,3,2,6.58,0,2,0,3,0,0,3,0.099,5.83,1,0
0.42,3,1,0,1,3,3,2,1.33,1,3,0,2,0,0,1,0.18,0.9100000000000001,1,0
1.0,4,2,0,2,0,1,3,1.25,0,4,1,3,1,0,3,0.444,0.25,1,0
0.25,3,2,0,2,5,1,1,4.33,1,2,0,2,1,0,1,0.047,4.08,1,0
0.67,3,0,1,4,1,2,2,1.92,0,1,1,3,0,0,3,0.229,1.25,1,0
1.08,3,2,0,1,3,1,2,7.25,0,2,0,2,0,0,2,0.131,6.17,1,1
0.33,4,0,0,2,2,2,1,3.0,0,4,1,3,0,0,2,0.082,2.67,1,0
2.92,3,0,0,3,1,3,2,5.83,0,3,1,3,0,0,4,0.428,2.91,0,0
0.5,4,1,0,4,4,2,1,6.08,0,1,0,3,0,0,4,0.071,5.58,1,1
0.33,4,0,1,4,0,3,3,1.75,0,3,1,2,0,0,3,0.12,1.42,1,0
0.42,3,2,0,3,5,2,1,1.33,0,1,1,3,0,0,3,0.18,0.9100000000000001,1,0
0.83,3,0,0,1,0,2,1,0.92,0,3,1,2,0,0,4,0.432,0.09000000000000008,1,0
0.58,3,0,1,3,1,2,2,5.17,0,2,1,2,0,0,2,0.094,4.59,1,1
0.83,3,2,0,2,4,1,2,3.17,0,3,0,3,0,0,2,0.199,2.34,1,0
3.25,2,3,0,3,3,2,2,9.67,0,3,0,3,0,0,4,0.305,6.42,0,1
0.92,4,0,1,2,1,3,2,5.67,1,2,0,3,0,0,4,0.138,4.75,1,0
1.17,4,2,0,4,3,2,2,4.0,0,2,0,4,0,0,1,0.234,2.83,1,0
0.58,3,0,1,3,6,1,2,7.0,0,1,1,2,0,0,1,0.072,6.42,1,1
1.0,3,0,0,3,0,1,1,2.5,0,1,0,3,0,0,3,0.286,1.5,1,0
0.75,4,0,0,2,0,2,1,6.0,0,3,1,3,0,0,3,0.107,5.25,1,1
1.58,2,1,0,4,0,2,2,8.17,0,2,1,3,0,0,3,0.172,6.59,1,1
1.25,4,0,1,3,0,1,2,2.0,0,1,1,2,0,0,4,0.417,0.75,1,0
0.25,4,3,0,4,0,1,1,5.75,0,3,0,3,0,0,2,0.037,5.5,1,1
0.33,3,2,0,4,2,2,3,4.33,0,3,0,3,0,0,4,0.062,4.0,1,0
2.75,3,2,0,4,4,2,2,9.08,0,3,0,2,0,0,4,0.273,6.33,0,1
0.92,3,3,0,1,0,2,1,1.25,1,4,0,3,0,0,1,0.409,0.32999999999999996,1,0
0.58,3,0,0,1,4,1,3,3.67,0,3,1,2,0,0,3,0.124,3.09,1,0
0.17,4,1,0,4,4,1,1,1.0,0,1,0,3,0,0,2,0.085,0.83,1,0
1.5,3,2,0,1,3,1,2,7.33,0,1,1,3,0,0,2,0.18,5.83,1,1
2.0,3,0,1,4,2,3,2,7.75,1,2,0,2,0,0,3,0.229,5.75,1,0
1.75,3,1,0,5,1,2,2,7.17,0,3,1,3,0,0,2,0.214,5.42,1,1
2.17,3,0,0,5,0,3,2,4.75,0,3,0,3,1,0,3,0.377,2.58,0,0
2.17,3,0,0,2,3,2,3,6.75,1,3,0,3,1,0,4,0.28,4.58,0,1
0.08,3,1,0,1,0,1,2,2.17,0,1,1,2,1,0,3,0.025,2.09,1,0
1.42,3,0,0,4,2,3,2,7.5,0,4,0,3,0,0,4,0.167,6.08,1,0
2.25,2,0,0,4,3,3,2,6.33,0,1,1,2,1,0,3,0.307,4.08,0,0
1.08,3,1,1,3,1,1,1,2.58,0,3,1,3,0,0,2,0.302,1.5,1,0
2.33,4,0,1,2,0,2,1,4.25,0,1,1,2,1,0,4,0.444,1.92,0,0
0.58,3,4,0,2,3,2,2,5.25,0,3,0,3,0,0,1,0.093,4.67,1,1
0.08,3,0,0,2,2,2,2,2.83,0,1,0,3,0,0,3,0.021,2.75,1,0
1.75,3,0,0,4,0,1,2,6.67,0,4,1,3,1,0,3,0.228,4.92,1,1
1.17,3,2,0,2,2,2,3,3.58,1,2,1,2,0,0,3,0.255,2.41,1,0
1.17,3,0,1,1,0,1,1,7.75,0,3,1,2,0,0,4,0.134,6.58,1,1
0.25,3,0,1,2,0,2,1,5.25,0,2,0,2,0,0,3,0.04,5.0,1,1
0.75,4,0,0,4,0,1,2,4.75,0,3,0,2,0,0,1,0.13,4.0,1,0
1.0,3,0,0,4,0,2,1,5.0,0,1,1,2,0,0,3,0.167,4.0,1,0
0.17,3,0,0,1,3,2,2,6.75,0,3,0,3,0,0,1,0.022,6.58,1,1
0.92,4,0,1,4,2,2,2,4.33,0,3,0,3,0,0,1,0.173,3.41,1,0
1.58,2,0,0,2,4,1,1,2.83,0,2,1,3,0,0,4,0.413,1.25,1,0
2.83,3,0,0,3,3,1,2,4.5,0,1,1,2,1,0,3,0.515,1.67,0,0
2.67,4,3,1,4,4,1,2,4.33,0,3,1,2,0,0,4,0.501,1.6600000000000001,0,0
2.83,3,0,1,3,0,2,3,8.58,0,2,1,3,0,0,4,0.295,5.75,0,1
2.83,3,3,1,1,1,3,2,8.5,0,2,0,2,0,0,4,0.298,5.67,0,0
1.33,4,0,1,2,1,2,2,5.25,1,1,1,2,0,0,2,0.213,3.92,1,1
0.25,3,1,0,2,3,1,1,4.17,0,2,1,3,0,0,2,0.048,3.92,1,0
0.83,3,0,0,2,0,3,3,2.5,0,3,1,3,0,0,2,0.237,1.67,1,0
1.5,3,0,0,5,1,2,2,7.5,0,3,0,3,0,0,4,0.176,6.0,1,1
0.83,3,0,1,3,0,2,2,2.25,0,2,1,2,0,0,4,0.255,1.42,1,0
2.25,3,0,0,3,1,2,1,6.67,0,3,0,3,1,0,4,0.293,4.42,0,1
0.58,4,0,0,2,1,3,2,5.25,0,2,0,3,0,0,2,0.093,4.67,1,0
1.67,2,0,1,4,1,1,2,5.58,0,3,1,2,1,0,3,0.254,3.91,1,1
0.17,4,2,1,3,3,1,1,6.33,0,3,1,2,0,0,2,0.023,6.16,1,1
2.67,3,2,0,3,0,1,2,4.58,0,1,1,2,0,0,3,0.478,1.9100000000000001,0,0
1.75,3,0,1,2,4,1,2,2.92,0,3,0,3,1,0,2,0.446,1.17,1,0
4.25,3,2,0,3,3,3,3,6.75,0,3,0,3,0,0,4,0.548,2.5,0,0
